Date,Book,Away Moneyline,Home Moneyline,Away Pointspread points,Away Pointspread odds,Home Pointspread points,Home Pointspread odds,Total points,Over odds,Under odds,Implied Probability,Juice,Time to close,Moneyline,Spread,Total
Tue Oct 02 2018 08:43:34 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Tue Oct 02 2018 09:43:33 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Tue Oct 02 2018 10:43:34 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Tue Oct 02 2018 11:43:34 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Tue Oct 02 2018 12:43:35 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Tue Oct 02 2018 13:43:35 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Tue Oct 02 2018 14:43:36 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Tue Oct 02 2018 15:43:35 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Tue Oct 02 2018 16:43:34 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Tue Oct 02 2018 17:43:34 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Tue Oct 02 2018 18:43:36 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Tue Oct 02 2018 19:43:36 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Tue Oct 02 2018 20:43:35 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Tue Oct 02 2018 21:43:34 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Tue Oct 02 2018 22:42:56 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Tue Oct 02 2018 22:46:38 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Tue Oct 02 2018 23:46:39 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Wed Oct 03 2018 00:46:38 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Wed Oct 03 2018 01:46:38 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Wed Oct 03 2018 02:46:38 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Wed Oct 03 2018 03:46:39 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Wed Oct 03 2018 04:46:38 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Wed Oct 03 2018 05:46:38 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Wed Oct 03 2018 06:46:38 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Wed Oct 03 2018 07:46:38 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Wed Oct 03 2018 08:46:37 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Wed Oct 03 2018 09:46:37 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Wed Oct 03 2018 10:46:38 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Wed Oct 03 2018 11:46:37 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Wed Oct 03 2018 12:46:38 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,45,-105,-115,,,,,,
Wed Oct 03 2018 13:46:38 GMT+0000 (UTC),CharlieBook,145,-165,3,105,-3,-125,45,-105,-115,,,,,,
Wed Oct 03 2018 14:46:38 GMT+0000 (UTC),CharlieBook,145,-165,3,105,-3,-125,45,-105,-115,,,,,,
Wed Oct 03 2018 15:46:38 GMT+0000 (UTC),CharlieBook,145,-165,3,105,-3,-125,45,-105,-115,,,,,,
Wed Oct 03 2018 16:46:38 GMT+0000 (UTC),CharlieBook,145,-165,3,105,-3,-125,45,-105,-115,,,,,,
Wed Oct 03 2018 17:46:37 GMT+0000 (UTC),CharlieBook,145,-165,3,105,-3,-125,45,-105,-115,,,,,,
Wed Oct 03 2018 18:46:39 GMT+0000 (UTC),CharlieBook,145,-165,3,105,-3,-125,45,-110,-110,,,,,,
Wed Oct 03 2018 19:46:38 GMT+0000 (UTC),CharlieBook,145,-165,3,105,-3,-125,45,-110,-110,,,,,,
Wed Oct 03 2018 20:31:35 GMT+0000 (UTC),CharlieBook,145,-165,3,105,-3,-125,45.5,-110,-110,,,,,,
Wed Oct 03 2018 21:31:36 GMT+0000 (UTC),CharlieBook,145,-165,3,105,-3,-125,45.5,-110,-110,,,,,,
Wed Oct 03 2018 22:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,105,-3,-125,45.5,-110,-110,,,,,,
Wed Oct 03 2018 23:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,105,-3,-125,45.5,-110,-110,,,,,,
Thu Oct 04 2018 00:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,105,-3,-125,45.5,-110,-110,,,,,,
Thu Oct 04 2018 01:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,105,-3,-125,45.5,-110,-110,,,,,,
Thu Oct 04 2018 02:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,45.5,-110,-110,,,,,,
Thu Oct 04 2018 03:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,45.5,-110,-110,,,,,,
Thu Oct 04 2018 04:31:33 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,45.5,-110,-110,,,,,,
Thu Oct 04 2018 05:31:35 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,45.5,-110,-110,,,,,,
Thu Oct 04 2018 06:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,45.5,-110,-110,,,,,,
Thu Oct 04 2018 07:31:33 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,45.5,-110,-110,,,,,,
Thu Oct 04 2018 08:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,45.5,-110,-110,,,,,,
Thu Oct 04 2018 09:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,45.5,-110,-110,,,,,,
Thu Oct 04 2018 10:31:32 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,45.5,-110,-110,,,,,,
Thu Oct 04 2018 11:31:33 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,45.5,-110,-110,,,,,,
Thu Oct 04 2018 12:31:33 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,45.5,-110,-110,,,,,,
Thu Oct 04 2018 13:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,45.5,-110,-110,,,,,,
Thu Oct 04 2018 14:31:35 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,45.5,-110,-110,,,,,,
Thu Oct 04 2018 15:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,45.5,-110,-110,,,,,,
Thu Oct 04 2018 16:31:33 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,46,-115,-105,,,,,,
Thu Oct 04 2018 17:31:33 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,46.5,-115,-105,,,,,,
Thu Oct 04 2018 18:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,46.5,-115,-105,,,,,,
Thu Oct 04 2018 19:31:35 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,46.5,-115,-105,,,,,,
Thu Oct 04 2018 20:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,46.5,-115,-105,,,,,,
Thu Oct 04 2018 21:31:33 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,46.5,-115,-105,,,,,,
Thu Oct 04 2018 22:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,46.5,-115,-105,,,,,,
Thu Oct 04 2018 23:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,46.5,-115,-105,,,,,,
Fri Oct 05 2018 00:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,46.5,-115,-105,,,,,,
Fri Oct 05 2018 01:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,46.5,-115,-105,,,,,,
Fri Oct 05 2018 02:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,46.5,-115,-105,,,,,,
Fri Oct 05 2018 03:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,46.5,-115,-105,,,,,,
Fri Oct 05 2018 04:31:32 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,46.5,-115,-105,,,,,,
Fri Oct 05 2018 05:31:32 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,46.5,-115,-105,,,,,,
Fri Oct 05 2018 06:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,46.5,-115,-105,,,,,,
Fri Oct 05 2018 07:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,46.5,-115,-105,,,,,,
Fri Oct 05 2018 08:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,46.5,-115,-105,,,,,,
Fri Oct 05 2018 09:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,46.5,-115,-105,,,,,,
Fri Oct 05 2018 10:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,46.5,-115,-105,,,,,,
Fri Oct 05 2018 11:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,46.5,-115,-105,,,,,,
Fri Oct 05 2018 12:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,46.5,-115,-105,,,,,,
Fri Oct 05 2018 13:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,46.5,-115,-105,,,,,,
Fri Oct 05 2018 14:31:33 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,46.5,-115,-105,,,,,,
Fri Oct 05 2018 15:31:34 GMT+0000 (UTC),CharlieBook,145,-165,3,100,-3,-120,46.5,-115,-105,,,,,,
Fri Oct 05 2018 16:31:34 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,46.5,-115,-105,,,,,,
Fri Oct 05 2018 17:31:34 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,46.5,-115,-105,,,,,,
Fri Oct 05 2018 18:31:35 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,46.5,-115,-105,,,,,,
Fri Oct 05 2018 19:31:33 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,46.5,-115,-105,,,,,,
Fri Oct 05 2018 20:31:34 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,46.5,-115,-105,,,,,,
Fri Oct 05 2018 21:31:34 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,46.5,-115,-105,,,,,,
Fri Oct 05 2018 22:31:34 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-110,-110,,,,,,
Fri Oct 05 2018 23:31:35 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-110,-110,,,,,,
Sat Oct 06 2018 00:31:34 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-110,-110,,,,,,
Sat Oct 06 2018 01:31:34 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-110,-110,,,,,,
Sat Oct 06 2018 02:31:34 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-110,-110,,,,,,
Sat Oct 06 2018 03:31:34 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-110,-110,,,,,,
Sat Oct 06 2018 04:31:33 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-110,-110,,,,,,
Sat Oct 06 2018 05:31:35 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-110,-110,,,,,,
Sat Oct 06 2018 06:31:34 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-110,-110,,,,,,
Sat Oct 06 2018 07:31:34 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-110,-110,,,,,,
Sat Oct 06 2018 08:31:33 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-110,-110,,,,,,
Sat Oct 06 2018 09:31:34 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-110,-110,,,,,,
Sat Oct 06 2018 10:31:33 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-110,-110,,,,,,
Sat Oct 06 2018 11:31:34 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-110,-110,,,,,,
Sat Oct 06 2018 12:31:35 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-110,-110,,,,,,
Sat Oct 06 2018 13:31:36 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-110,-110,,,,,,
Sat Oct 06 2018 14:31:34 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-110,-110,,,,,,
Sat Oct 06 2018 15:31:34 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-110,-110,,,,,,
Sat Oct 06 2018 16:31:35 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-110,-110,,,,,,
Sat Oct 06 2018 17:31:35 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-110,-110,,,,,,
Sat Oct 06 2018 18:31:34 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-110,-110,,,,,,
Sat Oct 06 2018 19:31:35 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-110,-110,,,,,,
Sat Oct 06 2018 20:31:34 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-110,-110,,,,,,
Sat Oct 06 2018 21:31:34 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-110,-110,,,,,,
Sat Oct 06 2018 22:31:34 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-110,-110,,,,,,
Sat Oct 06 2018 23:31:34 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-110,-110,,,,,,
Sun Oct 07 2018 00:31:33 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-115,-105,,,,,,
Sun Oct 07 2018 01:31:33 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-115,-105,,,,,,
Sun Oct 07 2018 02:31:33 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-115,-105,,,,,,
Sun Oct 07 2018 03:31:34 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-115,-105,,,,,,
Sun Oct 07 2018 04:31:33 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47,-115,-105,,,,,,
Sun Oct 07 2018 05:31:32 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47.5,-105,-115,,,,,,
Sun Oct 07 2018 06:31:32 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47.5,-105,-115,,,,,,
Sun Oct 07 2018 07:31:33 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47.5,-105,-115,,,,,,
Sun Oct 07 2018 08:31:31 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47.5,-105,-115,,,,,,
Sun Oct 07 2018 09:31:32 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47.5,-105,-115,,,,,,
Sun Oct 07 2018 10:31:32 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47.5,-105,-115,,,,,,
Sun Oct 07 2018 11:31:33 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47.5,-105,-115,,,,,,
Sun Oct 07 2018 12:31:34 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47.5,-105,-115,,,,,,
Sun Oct 07 2018 13:31:33 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47.5,-105,-115,,,,,,
Sun Oct 07 2018 14:31:33 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,47.5,-105,-115,,,,,,
Sun Oct 07 2018 15:31:33 GMT+0000 (UTC),CharlieBook,140,-160,3,100,-3,-120,48,-115,-105,,,,,,
Sun Oct 07 2018 16:31:33 GMT+0000 (UTC),CharlieBook,155,-175,3,105,-3,-125,48.5,-105,-115,,,,,,
Sun Oct 07 2018 17:31:32 GMT+0000 (UTC),CharlieBook,155,-175,3,105,-3,-125,48.5,-105,-115,,,,,,
Sun Oct 07 2018 18:31:34 GMT+0000 (UTC),CharlieBook,155,-175,3,105,-3,-125,48.5,-105,-115,,,,,,
Sun Oct 07 2018 19:31:32 GMT+0000 (UTC),CharlieBook,155,-175,3,105,-3,-125,48.5,-110,-110,,,,,,
Tue Oct 02 2018 22:42:56 GMT+0000 (UTC),AlfaBook,145,-165,3,100,-3,-120,44.5,-110,-110,,,,,,
Tue Oct 02 2018 22:46:51 GMT+0000 (UTC),AlfaBook,145,-165,3,100,-3,-120,44.5,-110,-110,,,,,,
Tue Oct 02 2018 23:46:50 GMT+0000 (UTC),AlfaBook,145,-165,3,100,-3,-120,44.5,-110,-110,,,,,,
Wed Oct 03 2018 00:47:10 GMT+0000 (UTC),AlfaBook,145,-165,3,100,-3,-120,44.5,-110,-110,,,,,,
Wed Oct 03 2018 01:46:39 GMT+0000 (UTC),AlfaBook,145,-165,3,100,-3,-120,44.5,-110,-110,,,,,,
Wed Oct 03 2018 02:46:39 GMT+0000 (UTC),AlfaBook,145,-165,3,100,-3,-120,44.5,-110,-110,,,,,,
Wed Oct 03 2018 03:46:49 GMT+0000 (UTC),AlfaBook,145,-165,3,100,-3,-120,44.5,-110,-110,,,,,,
Wed Oct 03 2018 04:46:40 GMT+0000 (UTC),AlfaBook,145,-165,3,100,-3,-120,44.5,-110,-110,,,,,,
Wed Oct 03 2018 05:46:42 GMT+0000 (UTC),AlfaBook,145,-165,3,100,-3,-120,44.5,-110,-110,,,,,,
Wed Oct 03 2018 06:47:12 GMT+0000 (UTC),AlfaBook,145,-165,3,100,-3,-120,44.5,-110,-110,,,,,,
Wed Oct 03 2018 07:47:04 GMT+0000 (UTC),AlfaBook,145,-165,3,105,-3,-125,44.5,-110,-110,,,,,,
Wed Oct 03 2018 08:46:41 GMT+0000 (UTC),AlfaBook,145,-165,3,105,-3,-125,44.5,-110,-110,,,,,,
Wed Oct 03 2018 09:47:30 GMT+0000 (UTC),AlfaBook,145,-165,3,105,-3,-125,44.5,-110,-110,,,,,,
Wed Oct 03 2018 10:46:41 GMT+0000 (UTC),AlfaBook,145,-165,3,105,-3,-125,44.5,-110,-110,,,,,,
Wed Oct 03 2018 11:46:48 GMT+0000 (UTC),AlfaBook,145,-165,3,105,-3,-125,44.5,-110,-110,,,,,,
Wed Oct 03 2018 12:46:44 GMT+0000 (UTC),AlfaBook,150,-170,3,105,-3,-125,44.5,-110,-110,,,,,,
Wed Oct 03 2018 13:46:42 GMT+0000 (UTC),AlfaBook,150,-170,3,105,-3,-125,44.5,-110,-110,,,,,,
Wed Oct 03 2018 14:47:02 GMT+0000 (UTC),AlfaBook,150,-170,3,105,-3,-125,44.5,-110,-110,,,,,,
Wed Oct 03 2018 15:47:29 GMT+0000 (UTC),AlfaBook,150,-170,3,105,-3,-125,44.5,-110,-110,,,,,,
Wed Oct 03 2018 16:46:44 GMT+0000 (UTC),AlfaBook,150,-170,3,105,-3,-125,44.5,-110,-110,,,,,,
Wed Oct 03 2018 17:46:46 GMT+0000 (UTC),AlfaBook,150,-170,3,105,-3,-125,44.5,-110,-110,,,,,,
Wed Oct 03 2018 18:46:58 GMT+0000 (UTC),AlfaBook,150,-170,3,105,-3,-125,45,-115,-105,,,,,,
Wed Oct 03 2018 19:46:40 GMT+0000 (UTC),AlfaBook,150,-170,3,105,-3,-125,45,-115,-105,,,,,,
Wed Oct 03 2018 20:31:35 GMT+0000 (UTC),AlfaBook,150,-170,3,105,-3,-125,45,-115,-105,,,,,,
Wed Oct 03 2018 21:31:35 GMT+0000 (UTC),AlfaBook,150,-170,3,105,-3,-125,45,-115,-105,,,,,,
Wed Oct 03 2018 22:31:35 GMT+0000 (UTC),AlfaBook,150,-170,3,105,-3,-125,45,-115,-105,,,,,,
Wed Oct 03 2018 23:31:35 GMT+0000 (UTC),AlfaBook,150,-170,3,105,-3,-125,45,-115,-105,,,,,,
Thu Oct 04 2018 00:31:35 GMT+0000 (UTC),AlfaBook,150,-170,3,105,-3,-125,45,-115,-105,,,,,,
Thu Oct 04 2018 01:31:35 GMT+0000 (UTC),AlfaBook,150,-170,3,105,-3,-125,45,-115,-105,,,,,,
Thu Oct 04 2018 02:31:35 GMT+0000 (UTC),AlfaBook,150,-170,3,100,-3,-120,45,-115,-105,,,,,,
Thu Oct 04 2018 03:31:57 GMT+0000 (UTC),AlfaBook,150,-170,3,100,-3,-120,45,-115,-105,,,,,,
Thu Oct 04 2018 04:31:35 GMT+0000 (UTC),AlfaBook,150,-170,3,100,-3,-120,45,-115,-105,,,,,,
Thu Oct 04 2018 05:31:34 GMT+0000 (UTC),AlfaBook,150,-170,3,100,-3,-120,45,-115,-105,,,,,,
Thu Oct 04 2018 06:31:34 GMT+0000 (UTC),AlfaBook,150,-170,3,100,-3,-120,45,-115,-105,,,,,,
Thu Oct 04 2018 07:31:34 GMT+0000 (UTC),AlfaBook,150,-170,3,100,-3,-120,45,-115,-105,,,,,,
Thu Oct 04 2018 08:31:35 GMT+0000 (UTC),AlfaBook,150,-170,3,100,-3,-120,45,-115,-105,,,,,,
Thu Oct 04 2018 09:31:34 GMT+0000 (UTC),AlfaBook,150,-170,3,100,-3,-120,45,-115,-105,,,,,,
Thu Oct 04 2018 10:31:36 GMT+0000 (UTC),AlfaBook,150,-170,3,100,-3,-120,45,-115,-105,,,,,,
Thu Oct 04 2018 11:31:35 GMT+0000 (UTC),AlfaBook,150,-170,3,100,-3,-120,45,-115,-105,,,,,,
Thu Oct 04 2018 12:31:34 GMT+0000 (UTC),AlfaBook,150,-170,3,100,-3,-120,45,-115,-105,,,,,,
Thu Oct 04 2018 13:31:49 GMT+0000 (UTC),AlfaBook,150,-170,3,100,-3,-120,45,-115,-105,,,,,,
Thu Oct 04 2018 14:31:40 GMT+0000 (UTC),AlfaBook,150,-170,3,100,-3,-120,45,-115,-105,,,,,,
